original_filename,canonical_filename,source_url,downloaded_on,size_bytes,sha256
Characteristics of a Disaster-Resilient Community.pdf,2007-twigg-characteristics-disaster-resilient-community-framework.pdf,https://www.preventionweb.net/files/2310_Characteristicsdisasterhighres.pdf,2026-05-07,6228,5397e7e0a19c7acdb5be5b6ed0925e1c4749daf9f85fceaf14b143f7ddd68e70
2010-iasc-meeting-humanitarian-challenges-urban-areas-strategy.pdf,2010-iasc-meeting-humanitarian-challenges-urban-areas-strategy.pdf,https://interagencystandingcommittee.org/iasc-reference-group-meeting-humanitarian-challenges-urban-areas/iasc-strategy-meeting-humanitarian-challenges-urban-areas-2010,2026-05-07,393550,38c52dcaf69e4d4f065272295d5a2f4cf157f6eaded9e1893f5c1814ec051111
"Building Urban Resilience Principles, Tools, and Practice.pdf",2013-worldbank-gfdrr-building-urban-resilience-principles-tools-practice-handbook.pdf,https://www.gfdrr.org/en/publication/building-urban-resilience-principles-tools-and-practice,2026-05-07,2621305,9764cd06aa95e6893feb5f6774fc46b663445638bf8bf177bc6fb0e7d6ef941b
Humanitarian response to urban crises a review of area-based approaches.pdf,2015-parker-maynard-humanitarian-response-urban-crises-aba-review-v2.pdf,,2026-05-07,440732,eb017b40a7153a5e5caa23912c8f33b3241929df6c0dd5ccf91b1ed92599b365
Humanitarian response to urban crises a review of area-based approaches (2).pdf,2015-parker-maynard-humanitarian-response-urban-crises-aba-review.pdf,https://www.iied.org/10742iied,2026-05-07,440732,eb017b40a7153a5e5caa23912c8f33b3241929df6c0dd5ccf91b1ed92599b365
Sendai Framework for Disaster Risk Reduction 20152030.pdf,2015-undrr-sendai-framework-drr-2015-2030-framework.pdf,https://www.preventionweb.net/files/43291_sendaiframeworkfordrren.pdf?startDownload=true,2026-05-07,1022502,8a2875d4b6d50a8f8057411980af5c1d3276c632dcb12e91b2a8faeb8da06491
Stepping back UndersUnderstanding cities and their systems.pdf,2016-campbell-stepping-back-understanding-cities-systems-guide-v2.pdf,,2026-05-07,788527,50b0a5262a6604649128b9dcffaf4ce006124d817f3668626b77916cf7ca8cee
Stepping Back Understanding Cities and Their Systems.pdf,2016-campbell-stepping-back-understanding-cities-systems-guide.pdf,https://alnap.org/help-library/resources/stepping-back-understanding-cities-and-their-systems/,2026-05-07,788527,50b0a5262a6604649128b9dcffaf4ce006124d817f3668626b77916cf7ca8cee
Building Urban Resilience.pdf,2017-ifrc-building-urban-resilience-guide.pdf,https://www.ifrc.org/document/building-urban-resilience-guide,2026-05-07,1160221,decbedc9ff94778d30424f98e2ee7834dbac634f44d93a0a0ce515447824044a
Urban Context Analysis Toolkit Guidance Note for Humanitarian Practioners.pdf,2017-irc-urban-context-analysis-toolkit-guidance-note-v2.pdf,https://www.rescue.org/report/urban-context-analysis-toolkit,2026-05-07,1028660,c6689ca4e2c1af41711a49b2c435c89d65b10e858bf7f1a7f9645deff2b0349c
